Egypt1	Egyptian	0.116565	0.1253105	1e-05	0.0084605	1e-05	1e-05	0.0867475	0.662887
Egypt11	Egyptian	0.1146445	0.1138775	1e-05	1e-05	0.004883	0.0054335	0.072223	0.6889185
Egypt22TD21	Egyptian	0.1005125	0.093262	1e-05	0.0114245	1e-05	1e-05	0.1052765	0.6894945
Egypt9AQ177	Egyptian	0.123802	0.097049	1e-05	0.007013	1.05e-05	1e-05	0.082568	0.6895375
Egypt5AQ172	Egyptian	0.082151	0.0974555	1e-05	0.004127	1e-05	0.006194	0.1153175	0.694735
Egypt3	Egyptian	0.1206345	0.097973	1e-05	0.00146	1e-05	0.001869	0.08049	0.697553
Egypt1AQ172	Egyptian	0.0861905	0.1085925	1e-05	0.0001575	1e-05	0.0054925	0.099431	0.700115
Egypt12AQ172	Egyptian	0.0885405	0.1109475	1e-05	0.0086895	1e-05	1e-05	0.087153	0.7046395
Egypt9AQ172	Egyptian	0.102942	0.104997	1e-05	0.011269	1e-05	1e-05	0.074795	0.7059665
Egypt8AT113	Egyptian	0.10939	0.1075585	1e-05	1e-05	1e-05	1e-05	0.076332	0.7066795
Egypt15AQ172	Egyptian	0.088435	0.114208	1e-05	0.0109525	1e-05	0.0033785	0.074829	0.708177
Egypt10	Egyptian	0.10009	0.117539	1e-05	0.003428	1e-05	1e-05	0.068866	0.7100475
Egypt3AQ172	Egyptian	0.0735815	0.108134	1e-05	0.009029	1e-05	1e-05	0.099178	0.710048
Egypt17AQ176	Egyptian	0.0839465	0.1044055	1e-05	0.010564	1e-05	0.0087495	0.0792395	0.7130745
Egypt7	Egyptian	0.0828775	0.1127305	1e-05	0.0016785	0.0056585	1e-05	0.0809295	0.716106
Egypt7AQ172	Egyptian	0.0997565	0.0853105	1e-05	1e-05	1e-05	1e-05	0.098269	0.7166235
Egypt12	Egyptian	0.091692	0.122128	1e-05	0.0009515	1e-05	0.010606	0.05595	0.718653
Egypt9	Egyptian	0.0758525	0.104558	1e-05	1e-05	1e-05	1e-05	0.093386	0.7261635
MoroccanJew4634	Moroccan_Jew	0.020225	0.0555185	0.0007045	1e-05	0.0030275	0.003415	0.1038665	0.8132335
MoroccanJew5168	Moroccan_Jew	0.0125715	0.065277	1e-05	0.0011995	0.0141705	1e-05	0.0878725	0.8188895
MoroccanJew5126	Moroccan_Jew	0.0239755	0.046744	1e-05	0.000252	0.0057125	1e-05	0.088566	0.8347305
MoroccanJew4789	Moroccan_Jew	0.0240865	0.0439175	1e-05	1e-05	1e-05	0.0069165	0.088805	0.836245
MoroccanJew4692	Moroccan_Jew	0.01634	0.053887	1e-05	0.003539	1e-05	0.0021185	0.0832405	0.840855
MoroccanJew4683	Moroccan_Jew	0.0125595	0.0523905	1e-05	0.001632	1e-05	1e-05	0.092298	0.8410905
Tunisian20D1	Tunisian	0.1623375	0.1104065	1e-05	0.0141355	1e-05	0.0118325	0.0129765	0.688292
Tunisian200000	Tunisian	0.1376115	0.1131455	1e-05	0.0037135	0.0012215	0.0052535	0.0429775	0.6960675
Tunisian20C1	Tunisian	0.13027	0.122806	1e-05	0.0039045	1e-05	1e-05	0.045231	0.697759
Tunisian20A5	Tunisian	0.1569265	0.1179715	1e-05	0.002249	1e-05	0.011693	0.0062445	0.704895
Tunisian20B4	Tunisian	0.134962	0.0872155	1e-05	0.001164	1e-05	0.013034	0.058068	0.705536
Tunisian20D4	Tunisian	0.1846055	0.0883055	1e-05	0.0044915	0.000598	0.0140875	0.0014705	0.7064315
Tunisian20F4	Tunisian	0.1462465	0.0981095	0.001735	0.0084555	1e-05	0.0312025	0.0065185	0.7077225
Tunisian20C4	Tunisian	0.1294315	0.1098675	1e-05	0.020444	1e-05	0.0013275	1e-05	0.738899
TunisianJew1507	Tunisian_Jew	0.021604	0.0716065	1e-05	0.0071805	1e-05	1e-05	0.0915415	0.808038
TunisianJew1511	Tunisian_Jew	0.02198	0.0717065	1e-05	0.0027495	1e-05	0.00109	0.087364	0.8150915
TunisianJew1544	Tunisian_Jew	0.021776	0.0595795	1e-05	0.0027425	8.55e-05	0.001608	0.0931195	0.821078
TunisianJew1170	Tunisian_Jew	0.0151155	0.0591435	1e-05	0.002474	1e-05	1e-05	0.0860295	0.837208
TunisianJew1421	Tunisian_Jew	0.017273	0.071735	1e-05	0.0003125	0.003903	1e-05	0.068849	0.837907
TunisianJew1763	Tunisian_Jew	0.0243305	0.057746	1e-05	0.00592	1e-05	1e-05	0.0707825	0.8411915
TunisianJew1531	Tunisian_Jew	0.0160215	0.060963	1e-05	0.0042745	1e-05	1e-05	0.066183	0.8525275
LibyanJew1438	Libyan_Jew	0.0262075	0.062966	0.0006085	0.0091575	1e-05	0.001227	0.090774	0.809049
LibyanJew1104	Libyan_Jew	0.001927	0.0711035	1e-05	0.008728	1e-05	0.004773	0.1037905	0.809658
LibyanJew1639	Libyan_Jew	0.016181	0.070011	1e-05	0.001227	1e-05	1e-05	0.099821	0.81273
LibyanJew1462	Libyan_Jew	0.0161975	0.0650585	1e-05	1e-05	1e-05	0.00366	0.0916535	0.823401
LibyanJew1263	Libyan_Jew	0.035145	0.0548	0.0001645	1e-05	0.0009475	1e-05	0.08367	0.8252535
LibyanJew1659	Libyan_Jew	0.023288	0.0738345	0.002238	3e-04	1e-05	1e-05	0.0740855	0.8262345
LibyanJew1605	Libyan_Jew	0.030495	0.063395	1e-05	0.0117325	0.001786	1e-05	0.063843	0.8287275
LibyanJew1601	Libyan_Jew	0.0176295	0.069391	1e-05	0.01013	1e-05	0.003808	0.0689685	0.830052
LibyanJew1611	Libyan_Jew	0.0170695	0.0618855	0.0016495	0.008255	0.002099	0.0044855	0.0743685	0.830188
HGDP01274	Mozabite	0.244986	0.0832595	1e-05	0.007034	1e-05	0.005299	1e-05	0.659392
HGDP01259	Mozabite	0.203959	0.0829045	1e-05	0.0142315	1e-05	0.0141645	1e-05	0.6847105
HGDP01257	Mozabite	0.218521	0.084328	1e-05	0.0006755	1e-05	1e-05	1e-05	0.6964355
HGDP01279	Mozabite	0.1663685	0.1176705	1e-05	0.018317	1e-05	1e-05	1e-05	0.697604
HGDP01276	Mozabite	0.186986	0.110293	1e-05	0.0025195	0.0007015	1e-05	1e-05	0.6994695
HGDP01268	Mozabite	0.1576845	0.120227	1e-05	0.0174075	1e-05	1e-05	1e-05	0.7046415
HGDP01262	Mozabite	0.17142	0.1137235	1e-05	0.010055	1e-05	1e-05	1e-05	0.704762
HGDP01256	Mozabite	0.1896655	0.097471	1e-05	0.0011175	1e-05	0.004021	1e-05	0.7076955
HGDP01277	Mozabite	0.1714225	0.10553	1e-05	0.0039155	1e-05	0.0077825	1e-05	0.711319
HGDP01265	Mozabite	0.177153	0.098225	1e-05	0.008992	0.002174	1e-05	1e-05	0.713427
HGDP01253	Mozabite	0.1603115	0.1158105	1e-05	0.001735	0.0031305	0.0039535	1e-05	0.7150395
HGDP01272	Mozabite	0.166474	0.101807	1e-05	1e-05	1e-05	0.01561	1e-05	0.716069
HGDP01280	Mozabite	0.171918	0.1033695	1e-05	0.0035815	1e-05	1e-05	1e-05	0.72109
